
Token		 palabra_clave		codigo_numerico

if		PALABRA RESERVADA		258

(		SIGNO PUNTUACION		252

4		int		304

<=		OPERADOR RELACIONAL		289

3		int		304

)		SIGNO PUNTUACION		253

{		SIGNO PUNTUACION		256

print		PALABRA RESERVADA		266

(		SIGNO PUNTUACION		252

mensaje IDENTIFICADOR VARIABLE

)		SIGNO PUNTUACION		253

;		SIGNO PUNTUACION		250

}		SIGNO PUNTUACION		257

else		PALABRA RESERVADA		259

{		SIGNO PUNTUACION		256

print		PALABRA RESERVADA		266

(		SIGNO PUNTUACION		252

mensaje2 IDENTIFICADOR VARIABLE

)		SIGNO PUNTUACION		253

;		SIGNO PUNTUACION		250

}		SIGNO PUNTUACION		257
